naam,wbh_code
Waterschap Rijn en IJssel,7
"Waterschap Amstel, Gooi en Vecht",31
Hoogheemraadschap van Delfland,15
Waterschap De Dommel,27
Waterschap Rivierenland,9
Hoogheemraadschap van Rijnland,13
Hoogheemraadschap De Stichtse Rijnlanden,14
Waterschap Hunze en Aa's,33
Waterschap Noorderzijlvest,34
Waterschap Zuiderzeeland,37
Hoogheemraadschap Hollands Noorderkwartier,12
Waterschap Brabantse Delta,25
Wetterskip Fryslân,2
Waterschap Aa en Maas,38
Waterschap Hollandse Delta,40
Hoogheemraadschap van Schieland en de Krimpenerwaard,39
Waterschap Scheldestromen,42
Waterschap Vallei en Veluwe,8
Waterschap Vechtstromen,44
Waterschap Drents Overijsselse Delta,59
Waterschap Limburg,60
